행정구역,2026년02월_계_총인구수,2026년02월_계_연령구간인구수,2026년02월_계_0~9세,2026년02월_계_10~19세,2026년02월_계_20~29세,2026년02월_계_30~39세,2026년02월_계_40~49세,2026년02월_계_50~59세,2026년02월_계_60~69세,2026년02월_계_70~79세,2026년02월_계_80~89세,2026년02월_계_90~99세,2026년02월_계_100세 이상
서울특별시 노원구 상계8동(1135070000),"21,172","21,172","1,750","1,601","2,131","4,718","3,330","3,001","2,279","1,578",663,120,1
서울특별시 노원구 상계9동(1135071000),"18,943","18,943",878,"1,561","2,113","2,682","2,664","3,415","2,836","1,857",776,155,6
서울특별시 노원구 상계10동(1135072000),"17,740","17,740","1,022","1,434","2,011","2,923","2,634","3,055","2,570","1,406",555,127,3
서울특별시 은평구 (1138000000),"454,341","454,341","20,101","33,401","55,361","66,632","64,241","76,652","69,056","44,531","21,269","3,020",77
서울특별시 은평구 녹번동(1138051000),"35,111","35,111","1,641","2,037","4,042","5,469","4,973","5,722","5,525","3,643","1,799",256,4
서울특별시 은평구 불광제1동(1138052000),"33,893","33,893","1,390","2,084","4,099","5,097","4,504","5,599","5,553","3,467","1,803",293,4
서울특별시 은평구 불광제2동(1138053000),"26,204","26,204",607,"1,319","3,377","3,875","3,116","4,429","4,718","3,040","1,544",174,5
서울특별시 은평구 갈현제1동(1138055100),"14,003","14,003",362,864,"1,859","2,094","1,786","2,372","2,321","1,545",709,87,4
서울특별시 은평구 갈현제2동(1138055200),"26,729","26,729",792,"2,007","3,516","3,628","3,628","4,815","4,253","2,692","1,228",167,3
서울특별시 은평구 구산동(1138056000),"30,587","30,587","1,032","2,289","3,681","3,815","4,069","5,579","5,175","3,261","1,480",201,5
서울특별시 은평구 대조동(1138057000),"26,992","26,992",775,"1,277","4,483","5,340","3,269","3,999","3,759","2,540","1,369",178,3
서울특별시 은평구 응암제1동(1138058000),"31,953","31,953","1,750","2,455","4,013","5,089","4,984","5,246","4,218","2,684","1,328",183,3
서울특별시 은평구 응암제2동(1138059000),"26,701","26,701","2,298","2,687","2,218","3,874","5,257","4,162","3,100","2,038",936,127,4
서울특별시 은평구 응암제3동(1138060000),"22,831","22,831",574,"1,150","2,877","3,310","2,814","3,668","3,912","2,786","1,516",216,8
서울특별시 은평구 역촌동(1138062500),"44,376","44,376","1,650","3,045","5,180","6,430","6,426","7,582","7,030","4,649","2,122",255,7
서울특별시 은평구 신사제1동(1138063100),"25,673","25,673",989,"1,657","3,159","3,735","3,453","4,393","4,233","2,646","1,237",168,3
